Campus,Term,Career,Class Nbr,Subject,Catalog Nbr,Title,Class Section,Course ID,Component Units,Facility ID,Meeting Start,Meeting End,Standard Meeting Pattern,Last Name,Initials,Enrollment Capacity,Enrollment Total,Learning Mode Descr
SDSU,Fall 2023,UGRD,7721,A E,499,Special Study,3010,33692,3,,,,ARR,Lu,P,5,0,Face-to-face
SDSU,Fall 2023,UGRD,5855,A E,410,Aeros Structural Dynamics,1001,39284,3,SSE1401,8:00 AM,9:15 AM,TR,Demasi,L,120,115,Face-to-face
SDSU,Fall 2023,GRAD,8372,A E,797,Research,3005,20,3,,,,ARR,Venkataraman,S,5,2,Face-to-face
SDSU,Fall 2023,GRAD,8374,A E,797,Research,3006,20,3,,,,ARR,Lu,P,5,0,Face-to-face
SDSU,Fall 2023,GRAD,8375,A E,797,Research,3007,20,3,,,,ARR,Bani Younes,A,5,2,Face-to-face
SDSU,Fall 2023,GRAD,8377,A E,797,Research,3008,20,3,,,,ARR,Chen,J,5,0,Face-to-face
SDSU,Fall 2023,GRAD,8379,A E,797,Research,3009,20,3,,,,ARR,Popov,P,5,0,Face-to-face
SDSU,Fall 2023,GRAD,8380,A E,797,Research,3010,20,3,,,,ARR,Capriotti,M,5,0,Face-to-face
SDSU,Fall 2023,GRAD,5959,A E, 799B,Thesis Extension,1001,23,0,,,,ARR,Grad,O,1,0,Face-to-face
SDSU,Fall 2023,UGRD,6750,M E,240,Intro to Eng Materials,1001,36649,3,PS130,7:00 PM,8:15 PM,MW,Yang,Y,70,70,Face-to-face
SDSU,Fall 2023,UGRD,6751,M E,240,Intro to Eng Materials,2001,36649,3,HH130,11:00 AM,12:15 PM,TR,Morsi,K,80,80,Face-to-face
SDSU,Fall 2023,UGRD,6752,M E,240,Intro to Eng Materials,3001,36649,3,COM105,5:00 PM,6:15 PM,MW,Torresani,E,70,35,Face-to-face
SDSU,Fall 2023,UGRD,6753,M E,241,Materials Laboratory,1002,36650,1,EIS012,2:00 PM,4:40 PM,M,Al Roomi,L,27,19,Face-to-face
SDSU,Fall 2023,UGRD,6754,M E,241,Materials Laboratory,2002,36650,1,EIS012,2:00 PM,4:40 PM,W,Al Roomi,L,27,27,Face-to-face
SDSU,Fall 2023,UGRD,6757,M E,241,Materials Laboratory,3002,36650,1,EIS012,2:00 PM,4:40 PM,F,Lehman,A,27,27,Face-to-face
SDSU,Fall 2023,UGRD,6759,M E,241,Materials Laboratory,4002,36650,1,EIS012,2:00 PM,4:40 PM,T,Al Roomi,L,27,27,Face-to-face
SDSU,Fall 2023,UGRD,6498,M E,190,Computer-Aided Design,2002,37991,1,E221,9:00 AM,11:40 AM,W,Saghafi,C,40,40,Face-to-face
SDSU,Fall 2023,UGRD,6500,M E,190,Computer-Aided Design,3001,37991,1,E221,8:00 AM,8:50 AM,F,Saghafi,C,40,40,Face-to-face
